"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
227683,10,1,0,1,"admin","afternoon",0,0
227681,3,0,0,1,"admin","afternoon",0,0
227676,1,0,0,0,"admin","afternoon",0,0
227675,1,0,0,0,"admin","morning",0,0
227673,1,0,0,0,"admin","morning",0,0
227672,5,0,0,1,"admin","morning",0,1
227667,8,0,0,1,"admin","morning",0,2
227666,4,0,0,1,"admin","morning",0,3
227664,5,0,0,0,"admin","morning",0,3
227658,6,0,0,0,"admin","afternoon",0,0
227645,4,0,0,0,"admin","morning",0,3
227638,1,0,0,1,"admin","morning",0,3
227633,1,1,3,0,"admin","morning",0,3
227628,1,0,0,0,"admin","morning",0,3
227601,2,1,0,0,"admin","afternoon",0,0
227596,4,3,1,0,"admin","afternoon",0,3
227591,3,0,0,0,"admin","afternoon",0,3
227583,1,0,0,0,"admin","afternoon",0,3
227582,10,0,0,0,"admin","morning",0,0
227567,23,0,0,0,"admin","morning",0,2
227565,1,0,4,0,"admin","morning",0,0
227555,1,0,0,1,"enterprise_admin","afternoon",0,0
227553,2,0,0,0,"admin","afternoon",0,0
227552,2,0,0,0,"admin","afternoon",0,0
227545,1,0,0,0,"admin","morning",0,3
227544,1,0,0,0,"admin","morning",0,1
227543,1,2,1,0,"admin","morning",0,1
227541,1,2,2,0,"admin","morning",0,10
227536,1,0,0,0,"enterprise_admin","morning",0,0
227535,3,0,0,1,"admin","morning",0,0
227533,3,0,0,1,"admin","morning",0,0
227511,4,0,0,0,"admin","morning",0,0
227500,1,0,0,0,"admin","afternoon",0,0
227490,4,0,0,1,"admin","morning",0,0
227485,4,0,0,0,"admin","morning",0,0
227484,4,0,0,0,"admin","morning",0,0
227483,3,0,0,0,"admin","morning",0,0
227482,3,0,0,0,"admin","morning",0,0
227481,9,0,0,0,"admin","morning",0,0
227480,9,0,0,0,"admin","morning",0,0
227479,31,0,0,0,"admin","morning",0,0
227477,9,0,0,0,"admin","morning",0,0
227476,9,0,0,0,"admin","morning",0,0
227459,2,0,8,0,"admin","afternoon",0,0
227450,4,0,0,0,"enterprise_admin","afternoon",0,0
227445,4,0,0,0,"admin","morning",0,0
227444,5,0,0,0,"admin","morning",0,0
227443,1,0,0,0,"enterprise_admin","morning",0,0
227442,5,0,0,0,"enterprise_admin","morning",0,1
227439,5,2,0,0,"enterprise_admin","morning",0,1
227438,1,0,0,0,"enterprise_admin","morning",0,2
227437,2,0,0,0,"enterprise_admin","morning",0,3
227436,1,0,0,0,"enterprise_admin","morning",0,0
227435,18,0,0,0,"enterprise_admin","morning",0,0
227434,2,0,0,0,"admin","afternoon",0,0
227433,2,0,0,0,"admin","afternoon",0,0
227429,5,1,0,1,"admin","afternoon",0,2
227427,2,0,0,0,"admin","afternoon",0,2
227426,2,0,0,0,"admin","afternoon",0,2
227421,2,0,0,0,"admin","afternoon",0,5
227396,5,2,0,0,"admin","morning",0,0
227395,1,0,0,0,"admin","afternoon",0,0
227394,7,0,0,0,"admin","afternoon",0,1
227392,3,0,0,0,"admin","afternoon",0,4
227391,15,0,0,0,"admin","afternoon",0,0
227389,1,0,0,0,"enterprise_admin","afternoon",0,0
227388,4,0,0,0,"enterprise_admin","afternoon",0,0
227383,1,0,0,0,"admin","afternoon",0,4
227382,1,0,0,0,"admin","afternoon",0,5
227381,1,0,0,0,"admin","afternoon",0,5
227380,1,0,0,0,"admin","afternoon",0,5
227378,1,0,1,0,"admin","afternoon",0,0
227371,1,0,0,0,"admin","afternoon",0,1
227363,2,0,0,0,"admin","morning",0,1
227354,174,1,0,1,"admin","afternoon",0,0
227350,2,0,0,0,"admin","afternoon",0,2
227349,1,0,0,0,"admin","afternoon",0,2
227348,2,0,0,0,"admin","afternoon",0,1
227346,1,0,0,0,"enterprise_admin","afternoon",0,0
227345,3,0,0,1,"admin","afternoon",0,0
227340,1,0,0,0,"admin","morning",0,0
227331,1,0,0,1,"admin","morning",0,1
227328,1,0,0,0,"admin","afternoon",0,0
227311,1,0,0,0,"admin","morning",0,1
227310,1,0,0,0,"enterprise_admin","afternoon",0,7
227309,1,0,0,0,"enterprise_admin","afternoon",0,8
227308,1,0,0,0,"enterprise_admin","afternoon",0,10
227307,1,0,0,0,"enterprise_admin","afternoon",0,5
227305,2,1,0,0,"admin","morning",0,0
227303,2,0,1,0,"admin","morning",0,0
227297,4,0,0,0,"admin","afternoon",0,0
227288,1,0,0,0,"admin","afternoon",0,0
227287,1,0,7,0,"admin","afternoon",0,0
227277,3,1,0,0,"enterprise_admin","afternoon",0,0
227260,2,0,3,0,"admin","afternoon",0,0
227253,1,0,0,0,"25975f8b830814a0","morning",0,0
227249,1,0,0,0,"admin","morning",0,4
227248,2,0,0,0,"admin","morning",0,4
227243,1,1,1,0,"admin","morning",0,5
227241,1,1,2,0,"admin","morning",0,4
